track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#
180,108,3,2023,6,22,5.808142489980444,26,18.275017115335665,11,163,10.0,4,0.0,140,0,65,87,74,22,0,42,4,False,False,False,False,False,False,False,True,False,False,False
103,142,2,2023,2,10,6.541029999189903,25,19.6862059532179,10,107,6.0,3,62.0,144,0,56,84,65,23,0,10,6,True,False,False,False,False,False,False,False,False,False,False
192,49,3,2022,6,24,8.041734711487537,39,20.395364700675124,38,0,4.0,0,0.0,101,1,88,72,59,62,0,9,3,False,False,False,False,True,False,False,False,False,False,False
264,228,1,2023,7,14,6.018593214496234,36,16.508814295802388,36,32,31.0,1,26.0,140,1,56,48,73,0,0,35,4,False,False,False,True,False,False,False,False,False,False,False
110,279,1,2023,7,7,5.003946305945459,24,17.4937884889954,32,93,8.0,2,5.0,82,1,51,22,53,1,0,15,3,False,False,False,False,False,False,False,False,False,False,True
252,189,2,2023,6,23,5.5909869805108565,9,17.497090762252274,9,6,25.0,2,72.0,130,1,63,36,34,76,0,35,9,False,False,False,False,False,False,False,True,False,False,False
34,279,1,2023,7,7,4.941642422609304,17,17.484925042769156,16,72,5.0,0,8.0,142,1,50,20,64,1,0,12,3,False,False,False,False,True,False,False,False,False,False,False
94,279,1,2017,11,8,8.492080490601163,23,20.344976889989162,19,45,0.0,0,10.0,136,0,62,19,53,11,0,6,4,True,False,False,False,False,False,False,False,False,False,False
241,205,1,2023,7,7,4.356708826689592,35,17.202007786539756,8,166,4.0,4,34.0,134,0,81,53,72,51,0,12,5,False,False,False,False,False,False,True,False,False,False,False
80,241,1,2017,4,28,8.138564737261632,21,20.833908448341862,41,100,59.0,1,32.0,117,1,61,45,69,2,0,9,3,False,False,False,True,False,False,False,False,False,False,False
351,8,1,2022,12,2,5.365976015021851,6,19.00657280967882,7,6,0.0,0,48.0,130,1,51,18,44,76,0,11,3,False,False,False,False,False,False,False,True,False,False,False
225,279,1,2023,7,7,4.605170185988092,15,17.424050618731165,21,52,6.0,1,0.0,121,1,65,49,78,0,0,17,4,False,False,False,False,False,False,False,False,False,True,False
415,279,1,2020,7,24,8.899048433885268,22,20.224243244215966,25,81,61.0,1,44.0,90,1,51,42,61,53,0,9,3,False,False,False,False,False,False,False,True,False,False,False
182,142,2,2023,6,22,5.308267697401205,11,17.83804302842986,19,117,8.0,1,74.0,128,0,75,79,63,33,0,15,4,True,False,False,False,False,False,False,False,False,False,False
283,222,1,2021,6,11,6.126869184114185,24,19.615652434526005,8,116,4.0,3,2.0,92,1,81,39,60,31,0,7,3,False,False,False,True,False,False,False,False,False,False,False
123,96,1,2022,8,19,8.14060704285845,38,20.215541768381588,45,69,52.0,4,3.0,95,1,87,57,55,10,0,29,7,False,False,False,False,False,False,False,True,False,False,False
254,205,1,2023,1,2,7.486613313139955,27,19.88156633115427,26,124,15.0,1,22.0,127,0,80,74,77,36,0,11,4,True,False,False,False,False,False,False,False,False,False,False
355,246,5,2023,5,22,5.209486152841421,8,17.808664288191373,3,88,1.0,0,52.0,110,0,76,96,72,32,0,9,4,False,False,False,False,False,False,False,False,False,True,False
274,81,1,2017,1,1,9.71697723512072,13,21.663089123437945,7,0,,0,0.0,95,1,60,17,45,16,0,11,2,False,False,False,False,False,False,False,False,False,False,True
253,304,4,2023,5,19,5.648974238161206,7,18.211221311547764,6,9,26.0,1,66.0,124,0,84,65,50,67,0,13,6,False,False,False,False,False,True,False,False,False,False,False
104,51,1,2023,1,27,6.29156913955832,21,19.360423889444068,7,71,4.0,2,13.0,140,0,74,96,80,18,0,5,5,False,False,False,False,False,False,False,False,False,True,False
